time_s,target_x_mm,target_y_mm,target_z_mm,drive_length_command_01_m,drive_length_command_02_m,drive_length_command_03_m,drive_length_command_04_m,drive_length_command_05_m,drive_length_command_06_m,drive_length_command_07_m,drive_length_command_08_m,drive_length_command_09_m,estimated_drive_force_01_N,estimated_drive_force_02_N,estimated_drive_force_03_N,estimated_drive_force_04_N,estimated_drive_force_05_N,estimated_drive_force_06_N,estimated_drive_force_07_N,estimated_drive_force_08_N,estimated_drive_force_09_N
10.225,87.5877103079742,0.772293253079904,-18.0917194500165,-0.000105161656562491,0.00068493402538497,0.000528379178007275,0.00127688523555514,0.000176273318791054,-0.000182663835090396,-0.00117172357899265,-0.000861207344176031,-0.000345715342916875,-5.78807021520465,10.7072082811988,15.4548978704438,13.42966189822,-9.93849809259708,-0.202237645464538,-7.64159168301538,-0.768710188601744,-15.2526602249793
10.25,87.5755408154256,0.825049416647018,-18.0685731721247,-0.00010545015159219,0.000688388534991841,0.000517789297574556,0.00128878632994242,0.000174207106333882,-0.000182218031065336,-0.00118333617835023,-0.000862595641325736,-0.000335571266509224,-5.86346583046334,10.9174953628927,14.2913283072351,13.7061046234497,-9.88492928898536,-0.0173943352220974,-7.84263879298636,-1.0325660739074,-14.273933972013
10.275,87.5631068679747,0.876621186677355,-18.0449117118655,-0.000105801333189048,0.000691782315395656,0.000507186209861548,0.00130068490548088,0.000172186379260322,-0.000181729300175033,-0.00119488357229183,-0.000863968694655971,-0.000325456909686512,-5.93898126412397,11.1271050710111,13.1279002122587,13.9823399644681,-9.83109565917642,0.169156924830928,-8.04335870034408,-1.29600941183474,-13.2970571370896
10.3,87.5504137360889,0.926992815039991,-18.020737476782,-0.000106215807889692,0.000695114470263367,0.000496570970662628,0.00131258016333827,0.00017021184442443,-0.000181197360055816,-0.00120636435544857,-0.000865326314687789,-0.000315373610606812,-6.01461012498716,11.3360010673612,11.9647391894204,14.2583459149035,-9.77700000995609,0.357405465002318,-8.2437357899163,-1.55900105740516,-12.3221446544227
10.325,87.5374667883172,0.976149008693414,-17.996052942325,-0.000106694165021029,0.000698384118347536,0.00048594463343889,0.00132447130557328,0.000168284194146787,-0.0001806219414211,-0.00121777714055227,-0.000866668312494323,-0.000305322692017791,-6.09034600975599,11.5441471453381,10.801970348097,14.5341006112064,-9.72264511254524,0.547340001428493,-8.44375460145037,-1.82150203279285,-11.3493103495255
10.35,87.5242714853225,1.02407493441509,-17.9708606511613,-0.000107236976482697,0.000701590393819618,0.000475308249110018,0.00133635753505641,0.000166404106034128,-0.000180002788163589,-0.00122912055857373,-0.000867994499853739,-0.00029530546094643,-6.16618250413118,11.7515072471199,9.63971827321662,14.80958232966,-9.66803369870746,0.73894863890194,-8.64339982552876,-2.08347354841242,-10.3786669121186
10.375,87.5108333739098,1.07075622325852,-17.9451632124807,-0.000107844796533849,0.00070473244659916,0.000464662865847214,0.00134823805539047,0.000164572242802953,-0.00017933965745243,-0.00124039325885664,-0.000869304689402113,-0.000285323208394781,-6.24211318391037,11.9580454808797,8.47810699548767,15.0847694833553,-9.61316845694818,0.932218874015923,-8.84265629944496,-2.34487702393157,-9.4103258695036
10.4,87.4971580810551,1.11617897473707,-17.9189633013048,-0.000108518161584678,0.00070780944267898,0.000454009528867212,0.00136011207083105,0.000162789252106874,-0.000178632319825404,-0.00125159390924637,-0.000870598694785868,-0.000275377209041808,-6.31813161609057,12.1637261379983,7.31725996180007,15.3596406191376,-9.55805202881191,1.12713759862179,-9.04150900304704,-2.60567410918644,-8.44439756042186
10.425,87.4832513079469,1.16032976073431,-17.8922636577964,-0.00010925758999264,0.000710820564445824,0.00044334928022758,0.00137197878620718,0.000161055766367935,-0.000177880559276047,-0.00126272119621455,-0.000871876330813759,-0.000265468720951529,-6.39423135997316,12.3685137102615,6.15730000581473,15.6341744145312,-9.50268700528356,1.32369110359483,-9.23994305455806,-2.86582670497796,-7.48099110940956
10.45,87.4691188240448,1.2031956291412,-17.8650670865711,-0.00011006358186319,0.000713765010996542,0.000432683158623312,0.00138383740684231,0.000159372402611616,-0.00017708417333577,-0.00127377382497912,-0.000873137413608158,-0.000255598985287542,-6.47040596827042,12.5723729070277,4.99834931876286,15.9083496746517,-9.44707592330014,1.52186508290393,-9.43794370638122,-3.12529698372757,-6.52021440166678
10.475,87.4547664611619,1.24476410722012,-17.8373764560098,-0.000110936618855612,0.00071664199844948,0.000422012199184963,0.00139568713847571,0.00015773976230591,-0.000176242973150883,-0.00128475051962011,-0.000874381760755383,-0.000245769226034077,-6.54664898821307,12.7752686723492,3.84052942047434,16.1821453291109,-9.39122126237898,1.72164463798024,-9.63549634089786,-3.38404740997021,-5.56217405845457
10.5,87.4402001075815,1.2850232046968,-17.8091946975733,-0.000111877163993204,0.000719450760250998,0.000411337433278314,0.00140752718718459,0.000156158431204062,-0.000175356783554612,-0.00129565002319139,-0.000875609191455046,-0.000235980649723706,-6.6229539626578,12.9771662020317,2.68396113065384,16.4555404289247,-9.33512544136813,1.92301428238019,-9.83258646626693,-3.64204076066358,-4.60697541303402
10.525,87.4254257022119,1.32396141658078,-17.7805248051187,-0.000112885661478768,0.0007221905474767,0.000400659888305822,0.00141935675930707,0.000154628979191301,-0.000174425443134018,-0.00130647109782829,-0.000876819526668002,-0.000226234445171804,-6.6993144311941,13.1780309606169,1.52876454042519,16.7285141434278,-9.2787908153251,2.12595794673732,-10.0291997122337,-3.89924014529177,-3.6547224871625
10.55,87.4104492287878,1.36156772571598,-17.7513698342177,-0.00011396253651462,0.000724860629127494,0.000389980587509782,0.0014311750613661,0.000153151960135427,-0.000173448804291865,-0.00131721252485147,-0.000878012589262928,-0.00021653178321792,-6.77572393124973,13.3778286982719,0.375058984161377,17.001045757206,-9.22221967252931,2.33045898399826,-10.2253218259563,-4.15560902574255,-2.70551796815964
